fit_label,strike,in_sample,dev_iv_mean,dev_iv_std,mispx_mean,mispx_std,mispx_p05,mispx_p25,mispx_p50,mispx_p75,mispx_p95
S2_inner4,5000,True,0.00021646381583050866,0.0007540491155028093,0.012119846207771692,0.06650765645563433,-0.10870285505006905,-0.03070657305624991,0.02037759144695883,0.05808659895524215,0.11018315078440537
S2_inner4,5100,True,-0.0006755592992740915,0.0023534301129050387,-0.09310266615811114,0.4220206553975503,-0.7103811350989873,-0.3973310155803347,-0.14644882401171344,0.19457288223486557,0.6593804637679568
S2_inner4,5200,True,0.000702311551417653,0.0024466263073025405,0.1601134015746546,0.6435538298156018,-0.9449747263679456,-0.2841467464612606,0.23522327600539938,0.6309705349908654,1.0905021902685348
S2_inner4,5300,True,-0.00024319442159252862,0.0008472107121860794,-0.055556622922057874,0.22687409315926346,-0.37518076714459314,-0.22124427368862598,-0.08444191405112633,0.09835798540387941,0.33475172571244227
S2_inner4,5400,False,-0.02122756041844912,0.01382084274695277,-3.8953807717644184,2.433812984766629,-7.442336187087392,-5.809684960674531,-4.159454724669388,-2.0333308733453634,0.154393321625747
S2_inner4,5500,False,-0.009172139102282772,0.02518618947318945,-0.9088612113028922,2.5480191528254617,-4.76357394161081,-3.0078797285152774,-1.0143869020549232,1.2286720874644743,3.1077141920030384
S2_inner4,6000,False,0.07845641066012583,0.12173518473541324,0.030116515650321966,0.9515439034827277,-1.8585953683768488,0.014688043673298345,0.45719958920135184,0.49970491148447216,0.4999999999954858
S2_inner4,6500,False,0.2016673930003736,0.27579054453326746,-0.20418981824581237,2.0528157488599903,-3.677189347666368,0.20206926820413695,0.49874810932473695,0.4999999999997897,0.5
S3_inner5,4000,False,0.2316540319122404,0.34006202691910326,0.008013723993097816,0.825476283352093,-0.5000000000009095,0.0,0.0,0.0,0.5
S3_inner5,4500,False,0.03750558703081558,0.22475163984419178,0.0101402840185637,0.7566246843175315,-0.5008363596501113,-0.5,0.0,0.4999922713386695,0.5
S3_inner5,5000,True,0.0020296203077319074,0.0018135191540558928,0.1518690207986344,0.14208123192293504,-0.09822391781076475,0.05311024878915305,0.16510330132086892,0.24927770696444895,0.3819605310869974
S3_inner5,5100,True,-0.0039141962687627525,0.00416942804430764,-0.648466649244981,0.7137549233065119,-1.683756324542469,-1.1756157201066344,-0.7796866138360201,-0.10608747876574398,0.5969184086497757
S3_inner5,5200,True,-0.0009625096777649111,0.0017914556927195995,-0.2636264964335228,0.47774337122886973,-1.033291794225238,-0.5754928023360435,-0.264891424229063,0.08628790714692514,0.46700207757849055
S3_inner5,5300,True,0.005560391897732598,0.0031978192326136013,1.4425884686694612,0.792216173918819,0.18972313999328208,0.8229081628634276,1.5003259254946215,2.050894279208478,2.6422307704900616
S3_inner5,5400,True,-0.0027131032968987228,0.0017665866556907034,-0.47586362379829644,0.29988076719564183,-0.9021401535801032,-0.7047624671829738,-0.5100183104841562,-0.25587397570916437,0.01974822927944613
S3_inner5,5500,False,0.02671413275975416,0.010044150995592183,2.542104415905876,1.090338007978412,0.6679373573422454,1.776004948097416,2.632283902754068,3.2946995092261346,4.260382267103537
S3_inner5,6000,False,0.25474086504212945,0.0691882873875552,0.49914429724477866,0.005568866558752752,0.49748394437962434,0.49999995388516194,0.49999999999979444,0.5,0.5
S3_inner5,6500,False,0.5762805077191543,0.15860677507341597,0.49996941418402674,0.0008535257943587618,0.49999975353243076,0.5,0.5,0.5,0.5
S4_inner7,4000,False,-0.07462865531356111,0.7134432695210339,-1.9715252752829708,4.0280730487112,-7.3459789078750415,-3.120904758955362,-1.3783130725641968e-06,0.0,0.0
S4_inner7,4500,True,-0.0007108670852203038,0.00155932530856584,-0.20331247145231618,0.4948682597916351,-0.5310115538655736,-0.5000001587739007,0.0,0.007142234745515452,0.016058417494605237
S4_inner7,5000,True,0.0031051729459719104,0.010688587407077439,0.20065306228546037,0.9270697221021672,-1.139841965129881,-0.5567412177679216,-0.002097121996939677,1.0323135345681749,1.6990529303357562
S4_inner7,5100,True,-0.0011275475578221448,0.004496449851878721,-0.14401683534969142,0.7767132676619092,-1.3228011547983443,-0.6989601961315657,-0.26374639156529156,0.44222709905579904,1.1751006820456495
S4_inner7,5200,True,0.0003673724694092937,0.006952473171908393,0.085883963866391,1.8398748409994534,-2.8199828599802688,-1.5638676611930578,0.49292050706594637,1.5192373001741544,2.79886060522972
S4_inner7,5300,True,0.0026149603908734134,0.007566435024360556,0.6566184533706201,2.006616351938699,-2.6541043548752783,-0.8366662091458466,0.7399898737569401,2.014106510842396,3.982821189044421
S4_inner7,5400,True,-0.01243912592687903,0.0042821747060112995,-2.3268508991872228,0.840718660067594,-3.547359568407148,-2.903336383582939,-2.3853648446446982,-1.8618873996863101,-0.7432347584311515
S4_inner7,5500,True,0.00798153992246253,0.00741649775012497,0.8131626880170056,0.7794142377596653,-0.3225563377716668,0.19382301022319837,0.72799449943669,1.4096450454833587,2.109428658630341
S4_inner7,6000,False,0.16544757423250084,0.10843588627084458,0.43165251084666567,0.12300834539095624,0.21451681424621363,0.3675989221180398,0.49925595696915215,0.5,0.5000000000000422
S4_inner7,6500,False,0.3888990256044222,0.265451915014999,0.4420394519518545,0.16756756524899286,0.2460524586313407,0.4400741614308856,0.49999999947062396,0.5,0.5
S5_skip5400,4000,False,-0.06639671608574862,0.7043864545532204,-2.0828371267774917,4.208072215973497,-7.796303695416509,-3.363314522507153,-6.371010385919362e-10,0.0,0.0
S5_skip5400,4500,True,-0.0005300460268980685,0.001529015781001065,-0.20187241678514042,0.4944534604107607,-0.5122202107456815,-0.5000000006166374,0.0,0.008558913112210575,0.017802099313439613
S5_skip5400,5000,True,0.003774803356350439,0.010576334033253337,0.2544386338290163,0.9174723955450839,-1.1182856885982346,-0.5348821131474324,0.11629957692639437,1.0516380891883728,1.7255790192643417
S5_skip5400,5100,True,-0.0018899363978778269,0.004536282431645599,-0.2801152190524025,0.7793761625362148,-1.4659760588351218,-0.8369702528623293,-0.3925988958199014,0.31382413354856453,1.0326980694571823
S5_skip5400,5200,True,-0.0018426088577260726,0.007057358930368715,-0.4921929688471356,1.8656991318270912,-3.3360970310317954,-2.1917878112514018,-0.2300891151403448,0.9902321272733161,2.3616524799496346
S5_skip5400,5300,True,-0.0010525318323982354,0.00784150741893013,-0.3177024017970541,2.094827919690858,-3.664341410482325,-1.8696501970752024,-0.3237170276751158,1.0884475017334694,3.2087992221460806
S5_skip5400,5400,False,-0.017569977028652987,0.006036757494678386,-3.3173406121844162,1.1990144905440714,-5.04128675975453,-4.145840559841872,-3.405512370908241,-2.659776604134578,-1.058228997667175
S5_skip5400,5500,True,0.0013850050525840449,0.0061295682317532175,0.1463024493789798,0.6574562664058148,-0.8921110674904412,-0.3999484431722493,0.044703796149718755,0.6714733589653434,1.21239440390473
S5_skip5400,6000,False,0.15158090784651984,0.10472713119341925,0.4013370988006151,0.17269830105933337,0.07908128302355895,0.30435104230186916,0.4989389608869369,0.49999999999657174,0.5000000000000053
S5_skip5400,6500,False,0.36801855690078894,0.2587664484216502,0.4099795046401851,0.2303706150078265,0.08905493655027161,0.3976397528682907,0.4999999997071286,0.5,0.5
