strike,theta_iv,hold,pnl_taker_sum,n_trades_taker,pnl_maker_sum,n_fills_maker,pnl_taker_per_trade,pnl_maker_per_fill
5400,0.005,20,-38363.0,27948,-28051.0,24602,-1.3726563618147989,-1.140191854320787
5400,0.005,100,-38090.0,27710,-29240.0,26334,-1.3745940093828943,-1.1103516366674262
5400,0.01,1,-31773.0,23274,-15972.0,14457,-1.3651714359370972,-1.1047935256277237
5400,0.01,5,-31737.0,23262,-20766.0,18033,-1.3643280887283982,-1.1515554816170355
5400,0.01,20,-31734.0,23220,-23300.0,20467,-1.3666666666666667,-1.1384179410758783
5400,0.01,100,-31634.0,22999,-24306.0,21888,-1.375451106569851,-1.1104714912280702
5400,0.02,1,-220.0,179,-101.0,95,-1.229050279329609,-1.063157894736842
5400,0.02,5,-203.0,179,-122.0,121,-1.1340782122905029,-1.0082644628099173
5400,0.02,20,-183.0,179,-118.0,138,-1.0223463687150838,-0.855072463768116
5400,0.02,100,-121.0,177,-79.0,161,-0.6836158192090396,-0.4906832298136646
5500,0.003,1,-26436.0,23111,-20280.0,19637,-1.1438708839946345,-1.0327443092122015
5500,0.003,5,-26319.0,23101,-22109.0,21127,-1.1393013289467988,-1.046480806550859
5500,0.003,20,-26147.0,23063,-22657.0,21942,-1.1337206781424793,-1.0325859083037099
5500,0.003,100,-25759.0,22852,-22616.0,22274,-1.1272098722212498,-1.0153542246565503
5500,0.005,1,-21651.0,18898,-16512.0,15993,-1.1456767911948353,-1.0324516976177078
5500,0.005,5,-21570.0,18888,-18077.0,17255,-1.141994917407878,-1.0476383656911041
5500,0.005,20,-21376.0,18856,-18477.0,17909,-1.133644463300806,-1.0317158970350104
5500,0.005,100,-20929.0,18662,-18340.0,18148,-1.1214767977708713,-1.0105796782014547
5500,0.01,1,-14042.0,12216,-10688.0,10344,-1.1494760969220694,-1.0332559938128383
5500,0.01,5,-14014.0,12210,-11750.0,11166,-1.1477477477477478,-1.0523016299480565
5500,0.01,20,-13905.0,12182,-12007.0,11568,-1.141438187489739,-1.0379495159059475
5500,0.01,100,-13574.0,12049,-11892.0,11717,-1.1265665200431572,-1.0149355637108475
5500,0.02,1,-589.0,532,-436.0,432,-1.1071428571428572,-1.0092592592592593
5500,0.02,5,-565.0,532,-483.0,488,-1.0620300751879699,-0.9897540983606558
5500,0.02,20,-535.0,532,-468.0,501,-1.005639097744361,-0.9341317365269461
5500,0.02,100,-517.0,530,-460.0,517,-0.9754716981132076,-0.8897485493230174
6000,0.003,1,-29931.0,29931,-29931.0,29931,-1.0,-1.0
6000,0.003,5,-29919.0,29919,-29919.0,29919,-1.0,-1.0
6000,0.003,20,-29874.0,29874,-29874.0,29874,-1.0,-1.0
6000,0.003,100,-29634.0,29634,-29634.0,29634,-1.0,-1.0
6000,0.005,1,-29885.0,29885,-29885.0,29885,-1.0,-1.0
6000,0.005,5,-29873.0,29873,-29873.0,29873,-1.0,-1.0
6000,0.005,20,-29828.0,29828,-29828.0,29828,-1.0,-1.0
6000,0.005,100,-29588.0,29588,-29588.0,29588,-1.0,-1.0
6000,0.01,1,-29726.0,29726,-29726.0,29726,-1.0,-1.0
6000,0.01,5,-29714.0,29714,-29714.0,29714,-1.0,-1.0
6000,0.01,20,-29669.0,29669,-29669.0,29669,-1.0,-1.0
6000,0.01,100,-29430.0,29430,-29430.0,29430,-1.0,-1.0
6000,0.02,1,-28939.0,28939,-28939.0,28939,-1.0,-1.0
6000,0.02,5,-28928.0,28928,-28928.0,28928,-1.0,-1.0
6000,0.02,20,-28883.0,28883,-28883.0,28883,-1.0,-1.0
6000,0.02,100,-28647.0,28647,-28647.0,28647,-1.0,-1.0
6500,0.003,1,-29935.0,29935,-29935.0,29935,-1.0,-1.0
6500,0.003,5,-29923.0,29923,-29923.0,29923,-1.0,-1.0
6500,0.003,20,-29878.0,29878,-29878.0,29878,-1.0,-1.0
6500,0.003,100,-29639.0,29639,-29639.0,29639,-1.0,-1.0
6500,0.005,1,-29905.0,29905,-29905.0,29905,-1.0,-1.0
6500,0.005,5,-29893.0,29893,-29893.0,29893,-1.0,-1.0
6500,0.005,20,-29848.0,29848,-29848.0,29848,-1.0,-1.0
6500,0.005,100,-29610.0,29610,-29610.0,29610,-1.0,-1.0
6500,0.01,1,-29820.0,29820,-29820.0,29820,-1.0,-1.0
6500,0.01,5,-29808.0,29808,-29808.0,29808,-1.0,-1.0
6500,0.01,20,-29763.0,29763,-29763.0,29763,-1.0,-1.0
6500,0.01,100,-29526.0,29526,-29526.0,29526,-1.0,-1.0
6500,0.02,1,-29579.0,29579,-29579.0,29579,-1.0,-1.0
6500,0.02,5,-29567.0,29567,-29567.0,29567,-1.0,-1.0
6500,0.02,20,-29523.0,29523,-29523.0,29523,-1.0,-1.0
6500,0.02,100,-29288.0,29288,-29288.0,29288,-1.0,-1.0
